Rank,Player,Goals,Season
33,Dusan Tadic,7,2015
40,Christian Eriksen,6,2015
1,Harry Kane,29,2016
2,Romelu Lukaku,25,2016
3,Alexis Sánchez,24,2016
4,Sergio Agüero,20,2016
4,Diego Costa,20,2016
6,Dele Alli,18,2016
7,Zlatan Ibrahimovic,17,2016
8,Eden Hazard,16,2016
8,Joshua King,16,2016
10,Christian Benteke,15,2016
10,Jermain Defoe,15,2016
10,Fernando Llorente,15,2016
13,Son Heung-Min,14,2016
14,Philippe Coutinho,13,2016
14,Sadio Mané,13,2016
14,Jamie Vardy,13,2016
17,Olivier Giroud,12,2016
18,Roberto Firmino,11,2016
19,Troy Deeney,10,2016
19,Sam Vokes,10,2016
19,Theo Walcott,10,2016
22,Michail Antonio,9,2016
22,Andre Gray,9,2016
22,Álvaro Negredo,9,2016
22,Pedro,9,2016
22,Gylfi Sigurdsson,9,2016
27,Willian,8,2016
27,Christian Eriksen,8,2016
27,Adam Lallana,8,2016
27,Manuel Lanzini,8,2016
27,Mesut Özil,8,2016
27,Salomón Rondón,8,2016
33,Etienne Capoue,7,2016
33,Andy Carroll,7,2016
33,Peter Crouch,7,2016
33,Gabriel Jesus,7,2016
33,James Milner,7,2016
33,Divock Origi,7,2016
33,Nathan Redmond,7,2016
33,Islam Slimani,7,2016
1,Mohamed Salah,32,2017
2,Harry Kane,30,2017
3,Sergio Agüero,21,2017
4,Jamie Vardy,20,2017
5,Raheem Sterling,18,2017
6,Romelu Lukaku,16,2017
7,Roberto Firmino,15,2017
8,Alexandre Lacazette,14,2017
9,Gabriel Jesus,13,2017
10,Eden Hazard,12,2017
10,Riyad Mahrez,12,2017
10,Glenn Murray,12,2017
10,Son Heung-Min,12,2017
14,Marko Arnautovic,11,2017
14,Álvaro Morata,11,2017
16,Pierre-Emerick Aubameyang,10,2017
16,Christian Eriksen,10,2017
16,Sadio Mané,10,2017
16,Luka Milivojevic,10,2017
16,Wayne Rooney,10,2017
16,Leroy Sané,10,2017
16,Chris Wood,10,2017
23,Dele Alli,9,2017
23,Ashley Barnes,9,2017
23,Anthony Martial,9,2017
23,Alexis Sánchez,9,2017
23,David Silva,9,2017
23,Wilfried Zaha,9,2017
29,Kevin De Bruyne,8,2017
29,Chicharito,8,2017
29,Joshua King,8,2017
29,Jesse Lingard,8,2017
29,Oumar Niasse,8,2017
29,Ayoze Pérez,8,2017
29,Xherdan Shaqiri,8,2017
29,Callum Wilson,8,2017
37,Marcos Alonso,7,2017
37,Charlie Austin,7,2017
37,Jordan Ayew,7,2017
37,Philippe Coutinho,7,2017
1,Pierre-Emerick Aubameyang,22,2018
1,Sadio Mané,22,2018
1,Mohamed Salah,22,2018
4,Sergio Agüero,21,2018
5,Jamie Vardy,18,2018
6,Harry Kane,17,2018
6,Raheem Sterling,17,2018
8,Eden Hazard,16,2018
9,Callum Wilson,14,2018
10,Richarlison,13,2018
10,Raúl Jiménez,13,2018
10,Alexandre Lacazette,13,2018
10,Glenn Murray,13,2018
10,Paul Pogba,13,2018
10,Gylfi Sigurdsson,13,2018
16,Roberto Firmino,12,2018
16,Ashley Barnes,12,2018
16,Joshua King,12,2018
16,Romelu Lukaku,12,2018
16,Luka Milivojevic,12,2018
16,Ayoze Pérez,12,2018
16,Son Heung-Min,12,2018
23,Aleksandar Mitrovic,11,2018
23,Salomón Rondón,11,2018
25,Marko Arnautovic,10,2018
25,Gerard Deulofeu,10,2018
25,Anthony Martial,10,2018
25,Marcus Rashford,10,2018
25,Lucas Moura,10,2018
25,Leroy Sané,10,2018
25,Chris Wood,10,2018
25,Wilfried Zaha,10,2018
33,Troy Deeney,9,2018
33,Felipe Anderson,9,2018
33,Diogo Jota,9,2018
36,Christian Eriksen,8,2018
36,Pedro,8,2018
38,David Brooks,7,2018
38,Gabriel Jesus,7,2018
38,Ryan Fraser,7,2018
1,Jamie Vardy,19,2019
2,Pierre-Emerick Aubameyang,17,2019
3,Sergio Agüero,16,2019
3,Mohamed Salah,16,2019
5,Danny Ings,15,2019
6,Sadio Mané,14,2019
6,Marcus Rashford,14,2019
8,Tammy Abraham,13,2019
8,Dominic Calvert-Lewin,13,2019
8,Raúl Jiménez,13,2019
11,Harry Kane,11,2019
11,Anthony Martial,11,2019
11,Teemu Pukki,11,2019
11,Raheem Sterling,11,2019
11,Chris Wood,11,2019
16,Richarlison,10,2019
16,Gabriel Jesus,10,2019
18,Son Heung-Min,9,2019
19,Dele Alli,8,2019
19,Jordan Ayew,8,2019
19,Roberto Firmino,8,2019
19,Kevin De Bruyne,8,2019
19,Neal Maupay,8,2019
19,Callum Wilson,8,2019
25,Jack Grealish,7,2019
25,Sébastien Haller,7,2019
25,Alexandre Lacazette,7,2019
25,Riyad Mahrez,7,2019
25,Ayoze Pérez,7,2019
25,Harry Wilson,7,2019
31,Harvey Barnes,6,2019
31,Ashley Barnes,6,2019
31,Todd Cantwell,6,2019
31,Troy Deeney,6,2019
31,James Maddison,6,2019
31,Mason Mount,6,2019
31,Diogo Jota,6,2019
38,Willian,5,2019
38,John Fleck,5,2019
38,Mason Greenwood,5,2019
