first_name,second_name,team_name,player_pos,minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,form,in_dreamteam,selected_by_percent,creativity,ict_index,influence,threat,status,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,news,news_added,current_cost,web_name,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,special,Mins_Per_90,Goals_Per_90,Assists_Per_90
Granit,Xhaka,Arsenal,Midfielder,1904,0,25,1,7,0,0,0,0,7,0,2.1,0,47,290,['form'],FALSE,0.7,240.6,66.7,338.6,85,available,100,100,0,0,-0.4,0.4,0,0,0,0,N/A,2019-12-29T14:30:26.292159Z,5.1,Xhaka,51484,0,109547,0,0,9.2,84450,18,FALSE,21.1556,0,0.0473
Lucas,Torreira,Arsenal,Midfielder,1365,1,20,1,3,0,0,0,0,4,0,1.8,0,44,238,['form'],FALSE,1.1,200.7,67.3,271.8,199,available,100,75,0,0,-0.3,0.3,0,0,0,0,N/A,2020-03-02T23:00:14.662721Z,4.7,Torreira,93073,0,169989,0,0,9.4,198849,19,FALSE,15.1667,0.0659,0.0659
Mohamed,Elneny,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0.5,0,0,0,0,not available,0,0,0,0,-0.3,0.3,6,0,0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,4.2,Elneny,123762,0,121683,0,0,0,153256,20,FALSE,0,0,0
Matteo,Guendouzi,Arsenal,Midfielder,1588,0,27,2,3,0,0,0,0,6,0,2,2,44,252,['form'],FALSE,5.6,231.5,69.8,320,146,available,0,0,0,0,-0.3,0.3,0,0,0,0,N/A,N/A,4.2,Guendouzi,912736,0,937030,0,0,10.5,242166,21,FALSE,17.6444,0,0.1134
David,Luiz Moreira Marinho,Arsenal,Defender,2185,2,32,1,6,0,0,0,0,4,1,3.2,10,79,413,['form'],FALSE,5.3,104.5,84.6,568.6,171,available,100,100,0,0,-0.3,0.3,2,0,0,0,N/A,2019-11-28T23:00:21.861570Z,5.7,David Luiz,246873,0,529230,0,0,13.9,41270,106,FALSE,24.2778,0.0824,0.0412
Emiliano,Martinez,Arsenal,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0.2,0,0,0,0,available,0,0,0,0,-0.3,0.3,0,0,0,0,N/A,N/A,4.2,Martinez,5851,0,14263,0,0,0,98980,427,FALSE,0,0,0
Calum,Chambers,Arsenal,Defender,1102,1,15,1,3,0,0,0,0,5,0,3,5,42,197,['form'],FALSE,0.6,113.5,58.7,272,203,injured,0,0,0,0,-0.2,0.2,0,0,0,0,Knee injury - Expected back 01 Jul,2019-12-29T14:30:27.183032Z,4.3,Chambers,140466,0,171176,0,0,9.8,101184,467,FALSE,12.2444,0.0817,0.0817
Daniel,Ceballos Fernandez,Arsenal,Midfielder,905,0,12,2,3,0,0,0,0,0,0,2.5,3,35,170,['form'],FALSE,3,247.6,55,203.6,99,available,100,100,0,0,-0.3,0.3,1,0,0,0,N/A,2019-11-06T17:30:16.584319Z,5.2,Ceballos,1007144,0,1140239,0,0,6.7,182539,469,FALSE,10.0556,0,0.1989
Cedric,Soares,Arsenal,Defender,1306,0,18,1,3,0,0,0,0,1,0,2.7,3,43,222,['form'],FALSE,0.2,197.1,59.7,291.2,107,available,100,100,0,0,-0.2,0.2,0,0,0,0,N/A,2020-01-21T22:00:20.334842Z,4.8,Cedric,21267,0,33098,0,0,9,58822,486,FALSE,14.5111,0,0.0689
Nicolas,Pepe,Arsenal,Midfielder,1587,4,25,6,4,0,0,0,0,3,0,3.7,8,88,307,['form'],FALSE,5,535.3,153.5,441.4,556,available,100,100,0,0,-0.2,0.2,2,0,0,0,N/A,2019-12-11T12:30:12.556688Z,9.3,Pepe,560863,0,578062,0,0,9.5,195735,488,FALSE,17.6333,0.2268,0.3403
