minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,selected_by_percent,creativity,ict_index,influence,threat,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,current_cost,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,Mins_Per_90,Goals_Per_90,Assists_Per_90
573,0,11,0,1,0,0,0,0,1,0,1.2,0,23,95,0.2,132.9,36.3,94.4,134,100,100,0,0,-0.3,0.3,0,0,0,0,4.7,25819,0,31471,0,0,4.9,200089,490,6.3667,0,0
656,3,9,1,2,0,0,0,0,1,0,2.8,5,39,129,2.8,36.6,42.5,162.8,226,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,502501,0,404091,0,0,8.9,444145,504,7.2889,0.4116,0.1372
296,0,6,0,0,0,0,0,0,1,0,1,0,5,51,0.3,75.1,16.3,56,31,100,75,0,0,-0.2,0.2,0,0,0,0,5.3,72106,0,109884,0,0,0.9,192895,515,3.2889,0,0
1172,0,11,4,4,0,0,0,0,4,0,2.4,2,43,184,5,211.9,58.9,225.2,151,100,100,0,0,0.2,-0.2,0,0,0,0,4.7,522161,0,154573,0,0,9.1,223340,541,13.0222,0,0.3072
96,0,0,0,1,0,0,0,0,0,0,2,0,4,13,0,6.3,1.6,9.8,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.3,5549,0,3200,0,0,0.9,209289,576,1.0667,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,0,0,0,0,4.4,610,0,517,0,0,0,232233,585,0,0,0
90,0,0,0,1,0,0,0,0,0,0,7,1,7,28,0.1,1.6,2.8,26.2,0,100,100,0,0,-0.2,0.2,0,0,0,0,4.8,7267,0,3105,0,0,1.5,92371,617,1,0,0
763,0,26,1,1,0,0,0,0,0,0,1.7,5,20,158,0.8,219.6,44.1,174.4,46,0,0,0,0,-0.4,0.4,0,0,0,0,4.1,72425,0,152316,0,0,4.9,37339,22,8.4778,0,0.118
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,1899,0,8061,0,0,0,43252,23,0,0,0
793,0,19,0,2,0,0,0,0,2,0,1.7,0,17,113,0.2,31.6,17.5,115.8,27,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,21132,0,27443,0,0,4,47390,24,8.8111,0,0
990,0,24,0,1,0,0,0,0,2,0,1.4,0,15,121,0.1,21.2,30.4,232.8,50,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,2024,0,4962,0,0,3.4,123354,25,11,0,0
111,0,6,0,0,0,0,0,0,1,0,0.8,0,5,14,0.1,12.2,3.8,3.4,24,0,0,0,0,-0.1,0.1,0,0,0,0,5.4,4232,0,27742,0,0,0.9,54764,26,1.2333,0,0
177,0,8,0,0,0,0,8,0,0,0,1,0,3,34,0.2,0,5.8,57,0,100,100,0,0,-0.2,0.2,0,0,0,0,4.3,18399,0,20350,0,0,0.7,98770,27,1.9667,0,0
940,3,26,2,2,0,0,0,0,4,0,2.9,6,52,207,0.1,267.5,70.6,248.8,191,100,100,0,0,-0.3,0.3,2,0,0,0,5.7,17743,0,28733,0,0,9.1,85242,28,10.4444,0.2872,0.1915
2333,7,52,7,4,1,0,0,0,7,0,4.5,15,118,473,20,909.4,222.3,687.2,629,100,100,0,0,0.4,-0.4,3,0,0,0,6.4,2646385,0,1634083,0,0,18.4,114283,29,25.9222,0.27,0.27
1673,4,40,5,4,0,0,0,0,3,0,3.2,0,79,240,0.8,421.6,135.9,350.8,586,100,100,0,0,0,0,0,0,0,0,5.5,255554,0,242443,0,0,14.4,193488,30,18.5889,0.2152,0.269
1537,3,30,2,3,0,0,0,0,2,0,3.4,4,61,253,2.6,375.3,113.5,386.4,375,100,75,0,0,-0.1,0.1,0,0,0,0,5.4,1283440,0,1339462,0,0,11.3,122806,31,17.0778,0.1757,0.1171
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.8,396,0,1446,0,0,0,174597,32,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,732,0,7757,0,0,0,27770,33,0,0,0
129,0,3,1,0,0,0,0,0,0,0,1.4,0,11,27,0.2,36.2,14.2,20.2,87,100,100,0,0,-0.2,0.2,0,0,0,0,4.3,22006,0,33852,0,0,2.6,221239,34,1.4333,0,0.6977
189,0,6,0,0,0,0,0,0,0,0,1.2,0,11,34,0.4,27.2,5.5,13.4,13,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,68901,0,65313,0,0,2.5,40564,35,2.1,0,0
310,0,4,1,2,0,0,0,0,0,0,1.9,0,15,41,0.1,56.1,14.9,42.6,51,100,100,0,0,-0.2,0.2,0,0,0,0,5.8,14240,0,27170,0,0,2.6,89274,36,3.4444,0,0.2903
1794,0,35,0,4,0,0,67,1,0,0,3,3,59,346,2.5,0.3,50.7,507.4,0,0,0,0,0,-0.2,0.2,1,0,0,0,4.3,293883,0,542329,0,0,13.7,21205,94,19.9333,0,0
317,0,11,0,0,0,0,0,0,1,0,1.2,0,6,32,0.6,21.2,4.7,18.6,8,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,23959,0,137549,0,0,1.4,61603,120,3.5222,0,0
1688,1,35,3,3,0,0,0,0,3,0,3,10,60,341,0.8,386.9,92.6,417,121,100,100,0,0,-0.1,0.1,1,0,0,0,4.4,156868,0,186095,0,0,13.6,169359,309,18.7556,0.0533,0.16
1782,5,31,1,6,1,0,0,0,3,0,3.2,7,67,180,0.8,169.8,108.3,296.2,632,0,0,0,0,-0.6,0.6,1,0,0,0,5.4,403278,0,436010,0,0,12.4,213345,428,19.8,0.2525,0.0505
7,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0.1,0,0,0,0,100,0,0,0,-0.2,0.2,0,0,0,0,4.3,1213,0,6795,0,0,0.2,79852,429,0.0778,0,0
2002,2,42,1,3,0,0,0,0,5,0,2.4,5,56,378,2.5,73.6,77.1,588.6,108,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,496353,0,479894,0,0,12.7,149484,445,22.2444,0.0899,0.045
1198,0,29,2,2,0,0,0,0,1,0,2,1,30,198,0.1,58.5,43.3,259.4,113,100,100,0,0,-0.2,0.2,0,0,0,0,4.3,6693,0,7709,0,0,7,199798,452,13.3111,0,0.1503
1446,1,32,0,3,0,0,0,0,1,0,2.5,4,42,252,0.4,31.9,44.5,329.6,81,100,100,0,0,-0.2,0.2,1,0,0,0,4.3,97845,0,90154,0,0,9.8,108156,455,16.0667,0.0622,0
1898,0,36,2,4,0,0,0,0,7,0,2.1,2,48,302,0.5,225.6,71.4,431.8,55,100,100,0,0,-0.1,0.1,1,0,0,0,4.4,98122,0,105934,0,0,10.9,203368,458,21.0889,0,0.0948
1315,3,23,2,3,0,0,0,0,2,1,2.4,2,58,170,1.1,261.1,112.4,275.8,589,100,100,0,0,-0.3,0.3,0,0,0,0,5.2,151457,0,288341,0,0,11.2,148508,465,14.6111,0.2053,0.1369
1711,3,40,2,5,0,0,0,0,4,0,2.7,5,71,295,3.8,202.1,91.7,375.8,338,0,0,0,0,-0.1,0.1,0,0,0,0,4.4,754468,0,570713,0,0,16.1,230046,470,19.0111,0.1578,0.1052
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,1763,0,5338,0,0,0,88175,474,0,0,0
1626,0,35,0,1,0,0,0,0,4,0,1.7,0,35,249,0.7,156.2,45.1,271.8,24,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,125819,0,106240,0,0,8,184704,491,18.0667,0,0
36,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1.3,0.7,1.2,4,0,0,0,0,0,0,0,0,0,0,4.5,667,0,334,0,0,0.4,223349,600,0.4,0,0
540,0,13,0,0,0,1,23,0,1,0,3.2,2,19,110,0.5,10,20.8,197.8,0,0,0,0,0,0,0,1,0,0,0,4.5,54875,0,18896,0,0,4.2,8432,603,6,0,0
352,1,10,0,0,0,0,0,0,0,0,3.5,2,14,41,0.2,51.1,26.3,51.4,160,0,0,0,0,-0.2,0.2,0,0,0,0,5.8,34395,0,18777,0,0,2.4,217487,613,3.9111,0.2557,0
