minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,selected_by_percent,creativity,ict_index,influence,threat,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,current_cost,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,Mins_Per_90,Goals_Per_90,Assists_Per_90
1438,3,24,5,2,0,0,0,0,0,0,3.3,6,75,278,0.4,489.1,117,316.2,367,100,100,0,0,-0.2,0.2,2,0,0,0,5.8,121423,0,145186,0,0,12.9,116216,421,15.9778,0.1878,0.3129
2147,0,32,0,6,0,0,0,0,4,0,2.3,0,57,366,0.2,275.6,83.8,461.2,102,100,100,0,0,0,0,0,0,0,0,4.5,35053,0,34830,0,0,12.7,78916,475,23.8556,0,0
2015,3,33,1,3,0,0,0,1,3,0,3,7,69,396,0.6,147.7,89.2,538.2,204,100,100,0,0,0,0,1,0,0,0,4.5,106229,0,72573,0,0,15.3,110735,493,22.3889,0.134,0.0447
2109,8,28,2,6,0,0,0,0,3,0,3.6,15,101,277,1.7,264.5,191.7,405,1250,0,0,0,0,-0.3,0.3,1,0,0,0,5.7,517364,0,441819,0,0,17.7,115382,502,23.4333,0.3414,0.0853
1651,2,26,1,4,0,0,0,0,0,1,2.9,9,64,267,0.7,510.3,111.9,354.8,255,100,100,0,0,-0.2,0.2,1,0,0,0,4.8,106729,0,81954,0,0,13.3,74471,516,18.3444,0.109,0.0545
827,2,13,2,3,0,0,0,0,0,0,2.4,3,41,90,1.1,62.9,49.2,91,347,100,75,0,0,-0.3,0.3,7,0,0,0,4.2,409579,0,347582,0,0,9.8,233425,534,9.1889,0.2177,0.2177
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25663,0,20885,0,0,0,213056,536,0,0,0
1181,0,18,0,3,0,0,0,0,1,0,1.7,0,33,183,0.1,214.1,62.3,202,205,100,75,0,0,0,0,0,0,0,0,4.5,18986,0,12999,0,0,7.3,235382,537,13.1222,0,0
287,0,6,0,0,0,0,0,0,2,0,1.1,0,7,30,0.6,7.9,8.5,30.8,48,0,0,0,0,0,0,0,0,0,0,4,73238,0,42133,0,0,1.8,74375,546,3.1889,0,0
31,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11776,0,6004,0,0,0.2,232792,586,0.3444,0,0
10,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0.8,0.9,0.6,8,0,0,0,0,0,0,0,0,0,0,5.5,713,0,181,0,0,0.2,243016,627,0.1111,0,0
2610,0,40,2,11,0,0,0,0,7,0,3,1,87,476,1.2,95,101.7,577,343,0,0,0,0,0,0,0,0,0,0,5,108174,0,89835,0,0,17.4,51927,83,29,0,0.069
2610,1,40,2,11,0,0,0,0,8,0,3.5,10,101,515,3.9,110.9,107.4,668.6,294,100,100,0,0,0.2,-0.2,2,0,0,0,5.2,509909,0,368638,0,0,19.4,17761,84,29,0.0345,0.069
1350,0,26,1,5,0,0,0,0,2,0,2.7,0,41,236,0.3,178.1,45.9,264.8,15,100,0,0,0,-0.3,0.3,0,0,0,0,4.2,109485,0,112995,0,0,9.8,68983,85,15,0,0.0667
1260,0,14,1,6,0,0,0,0,4,0,3.4,2,48,230,0.3,93.1,40.1,230.4,77,100,100,0,0,-0.2,0.2,1,0,0,0,4.3,26879,0,21660,0,0,11.2,17997,86,14,0,0.0714
1375,0,11,0,7,0,0,0,0,3,0,3.2,2,55,258,2.4,196.6,45.7,239.4,19,100,100,0,0,-0.2,0.2,0,0,0,0,4.3,220453,0,140473,0,0,12.8,103914,87,15.2778,0,0
2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.1,0.1,0,0,0,100,100,0,0,-0.2,0.2,0,0,0,0,4.3,4303,0,9363,0,0,0.2,41674,88,0.0222,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,-0.1,0.1,9,0,0,0,3.9,157218,0,205634,0,0,0,83312,89,0,0,0
1350,6,21,0,8,0,0,0,0,4,0,3.2,6,61,161,2.2,85.1,75.9,226.2,474,75,75,0,0,-0.4,0.4,1,0,0,0,6.1,1128129,0,1178508,0,0,10,44699,90,15,0.4,0
2061,11,28,1,10,0,0,0,1,1,0,4.2,16,109,302,1.5,248.1,158,453.8,891,100,100,0,0,-0.4,0.4,3,0,0,0,6.1,362312,0,375060,0,0,17.9,60689,91,22.9,0.4803,0.0437
328,2,1,1,2,0,0,0,0,0,0,2.6,3,26,84,0.2,55,32,111.4,153,100,100,0,0,-0.2,0.2,1,0,0,0,5.3,24256,0,17075,0,0,4.9,81183,92,3.6444,0.5488,0.2744
2610,0,40,0,11,0,1,89,0,0,0,4.4,17,128,598,18.8,30.3,70.3,671.6,2,100,100,0,0,0.4,-0.4,1,0,0,0,4.9,1678275,0,814138,0,0,26.1,98747,93,29,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,24631,0,96657,0,0,0,15749,95,0,0,0
398,1,4,0,3,0,0,0,0,0,0,2.9,1,20,66,0.4,156.8,33.1,83.2,92,100,0,0,0,-0.1,0.1,0,0,0,0,5.9,79829,0,116385,0,0,3.4,60586,96,4.4222,0.2261,0
2529,2,38,6,12,0,0,0,0,4,0,3.4,6,99,410,1.1,713.6,152.6,503.8,309,100,100,0,0,0.1,-0.1,1,0,0,0,6.1,202009,0,157599,0,0,16.2,433154,97,28.1,0.0712,0.2135
395,1,10,2,1,0,0,0,0,1,0,2.1,0,29,104,0,87.2,27.9,105.6,86,100,100,0,0,0,0,0,0,0,0,5.5,3930,0,4496,0,0,5.3,90517,98,4.3889,0.2278,0.4557
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,323,0,443,0,0,0,39847,99,0,0,0
1930,2,30,2,10,0,0,0,0,8,0,2.8,4,67,197,0.1,213.7,76.5,269.8,282,100,100,0,0,-0.1,0.1,0,0,0,0,5.4,15032,0,16038,0,0,12.4,83314,100,21.4444,0.0933,0.0933
2340,2,29,6,11,0,0,0,0,9,0,3.5,9,91,415,0.9,589.1,116.6,456,121,100,100,0,0,0,0,1,0,0,0,5.5,99714,0,95135,0,0,16.5,60551,101,26,0.0769,0.2308
2365,0,36,0,10,0,0,0,0,1,0,2.3,0,62,279,0.2,192.7,80.5,300.4,311,100,100,0,0,-0.1,0.1,0,0,0,0,4.9,13832,0,23104,0,0,12.7,40145,102,26.2778,0,0
485,0,15,0,0,0,0,0,0,4,0,0.9,0,15,51,0.1,37.8,9.6,45,12,100,100,0,0,-0.4,0.4,0,0,0,0,4.6,5318,0,10956,0,0,3.3,17349,430,5.3889,0,0
1233,0,29,3,3,0,0,0,0,1,0,2.8,7,42,226,4,152.7,41.1,238.6,23,100,100,0,0,-0.3,0.3,1,0,0,0,4.2,1009563,0,913859,0,0,10,39487,447,13.7,0,0.219
1376,5,26,1,4,0,0,0,0,1,0,2.3,3,65,179,0.3,79.7,87.3,277.8,525,100,75,0,0,-0.3,0.3,0,0,0,0,5.7,37025,0,46571,0,0,11.4,44683,451,15.2889,0.327,0.0654
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.3,1624,0,3695,0,0,0,220037,495,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,508,0,384,0,0,0,195064,571,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,2,0,0,0,3.9,3023,0,1998,0,0,0,195471,572,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1356,0,675,0,0,0,432793,596,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0.2,2,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.8,446,0,224,0,0,0.2,172782,620,0.0111,0,0
858,4,7,3,5,0,0,0,0,3,0,7,8,77,264,4.2,230.1,76.5,306.4,230,100,100,0,0,-0.3,0.3,3,0,0,0,6.2,432985,0,487410,0,0,12.4,82263,103,9.5333,0.4196,0.3147
1125,2,13,0,3,0,0,0,1,3,0,3.3,3,43,228,0.6,45.3,50.1,274.4,181,100,100,0,0,0,0,1,0,0,0,6,57504,0,38359,0,0,7.2,102380,104,12.5,0.16,0
2419,2,38,3,5,0,0,0,0,0,0,3.3,7,88,494,6,484.3,151.7,666.6,364,100,100,0,0,-0.1,0.1,2,0,0,0,5.9,375548,0,529895,0,0,14.9,41328,105,26.8778,0.0744,0.1116
1020,0,21,0,1,0,0,0,0,3,0,1.3,0,18,179,0.7,298.4,73.1,207.6,225,100,100,0,0,-0.1,0.1,0,0,0,0,5.4,178967,0,231218,0,0,3.3,109533,107,11.3333,0,0
1256,0,24,0,2,0,0,0,0,5,0,1.5,0,22,222,0.6,48.4,35.9,247.2,63,100,100,0,0,-0.2,0.2,0,0,0,0,4.8,65036,0,104846,0,0,4.6,135363,108,13.9556,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,3355,0,27965,0,0,0,105700,109,0,0,0
438,2,7,1,3,0,0,0,0,0,0,3.1,3,28,88,2.1,93.3,38.7,96.4,202,100,100,0,0,-0.4,0.4,0,0,0,0,6.6,160458,0,193074,0,0,4.2,44346,110,4.8667,0.411,0.2055
2250,0,32,0,6,0,0,42,0,0,0,2.8,0,69,387,4.3,0,38.4,384.2,0,0,0,0,0,-0.1,0.1,0,0,0,0,5.4,348700,0,458062,0,0,12.8,109745,111,25,0,0
360,0,7,0,0,0,0,9,0,0,0,1.8,0,7,49,0.3,0,8,80,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.8,10768,0,15169,0,0,1.5,20310,112,4,0,0
1923,5,21,6,8,0,0,0,0,3,0,4,16,113,483,4.2,792.7,201.2,561.4,657,100,100,0,0,0,0,4,0,0,0,7,987844,0,811050,0,0,16.1,47431,113,21.3667,0.234,0.2808
653,1,12,2,2,0,0,0,0,1,0,3.3,1,30,122,1.3,227,71.9,159.4,332,100,100,0,0,-0.2,0.2,1,0,0,0,6.8,138075,0,270240,0,0,4.4,49579,114,7.2556,0.1378,0.2756
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,100,100,0,0,-0.2,0.2,0,0,0,0,6.3,3811,0,6479,0,0,0,126187,115,0,0,0
768,1,12,4,2,0,0,0,0,1,0,2.6,3,45,172,0.5,310.5,83.6,204.8,323,100,75,0,0,-0.8,0.8,0,0,0,0,5.2,332469,0,322786,0,0,8.7,209046,116,8.5333,0.1172,0.4688
670,0,7,4,4,0,0,0,0,0,0,2.8,3,37,124,1.8,258.6,69,171.8,262,100,100,0,0,-0.3,0.3,1,0,0,0,5.7,122950,0,464057,0,0,6.5,88894,117,7.4444,0,0.5373
2009,4,32,3,4,0,0,0,0,10,0,3.1,9,81,470,3.4,390.3,109.1,541,156,0,0,0,0,-0.1,0.1,1,0,0,0,4.9,645050,0,704520,0,0,16.5,85955,118,22.3222,0.1792,0.1344
1383,3,20,0,2,0,0,0,0,3,0,2.7,2,49,242,3.6,369.3,94,368,201,100,100,0,0,0,0,0,0,0,0,5,410880,0,690671,0,0,9.8,116594,119,15.3667,0.1952,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.3,1690,0,2596,0,0,0,199598,121,0,0,0
1069,5,19,3,3,0,0,0,0,0,0,4.4,5,70,217,3.4,271.9,132.7,335.6,719,100,75,0,0,-0.6,0.6,1,0,0,0,6.9,1406452,0,1811356,0,0,10.1,176413,431,11.8778,0.421,0.2526
1678,1,29,3,2,0,0,0,0,7,0,2.3,6,58,388,0.9,391.8,98.2,424.6,168,100,100,0,0,-0.2,0.2,0,0,0,0,5.3,126097,0,156713,0,0,10.9,91651,432,18.6444,0.0536,0.1609
1803,0,27,0,4,0,0,0,1,5,0,1.9,1,42,307,1.5,30.9,55.5,394.8,133,100,100,0,0,-0.3,0.3,0,0,0,0,4.7,152549,0,273283,0,0,8.9,103192,459,20.0333,0,0
1930,13,27,5,7,0,0,0,1,2,0,5.2,20,131,396,14.7,265.7,191.5,581.2,1077,100,100,0,0,0.5,-0.5,4,0,0,0,7.5,5415158,0,4829231,0,0,17.5,173879,460,21.4444,0.6062,0.2332
224,1,8,2,0,0,0,0,0,0,0,1.8,1,28,59,0.5,42.9,28.3,61.8,185,0,0,0,0,-0.4,0.4,0,0,0,0,6.6,96272,0,132828,0,0,4.2,94245,461,2.4889,0.4018,0.8036
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.3,0,0,0,0,5.2,915,0,4609,0,0,0,167767,462,0,0,0
2296,6,33,5,7,0,0,0,0,3,0,3.8,8,111,424,15.4,668.6,207.4,547,857,100,100,0,0,0.2,-0.2,1,0,0,0,6.2,4007310,0,3179877,0,0,17.9,184341,463,25.5111,0.2352,0.196
1065,0,14,2,3,0,0,0,0,1,0,2.6,5,45,257,0.9,280.8,64.9,242,125,100,100,0,0,0.1,-0.1,1,0,0,0,5.1,128525,0,74876,0,0,8.8,225796,506,11.8333,0,0.169
1291,1,18,0,4,0,0,0,0,3,0,3.2,7,48,271,1.7,68.6,48.5,335.4,79,100,100,0,0,-0.3,0.3,2,0,0,0,4.2,815915,0,736778,0,0,11.4,194794,529,14.3444,0.0697,0
99,0,1,0,1,0,0,0,0,0,0,1.7,0,5,18,0.3,26.3,4.2,13,3,100,100,0,0,0,0,0,0,0,0,4.5,20473,0,3396,0,0,1.1,243568,533,1.1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,-0.1,0.1,0,0,0,0,3.9,6751,0,6852,0,0,0,209036,545,0,0,0
19,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1.2,1,0,9,0,0,0,0,0,0,0,0,0,0,4.5,39,0,10,0,0,0.2,223332,630,0.2111,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,139,0,32,0,0,0.2,440323,631,0.0444,0,0
1892,3,24,0,7,0,0,0,1,0,0,4,8,87,404,5.5,387,98.7,397.6,202,100,100,0,0,0.1,-0.1,2,0,0,0,5.6,891098,0,1012922,0,0,15.5,74230,123,21.0222,0.1427,0
1582,1,23,1,3,0,0,0,0,5,0,2.7,4,48,260,0.3,27.7,53.3,384,121,100,100,0,0,0,0,1,0,0,0,5,87434,0,74592,0,0,9.6,49413,124,17.5778,0.0569,0.0569
465,0,8,0,0,0,0,0,0,0,1,0.9,0,7,69,0.1,13.2,10.6,86,6,100,100,0,0,0,0,0,0,0,0,5,4866,0,8880,0,0,1.4,40784,125,5.1667,0,0
1570,0,18,1,6,0,0,0,0,3,0,3.1,7,62,282,1.4,86.9,38.7,267.6,32,100,100,0,0,-0.2,0.2,0,0,0,0,4.3,312475,0,279150,0,0,14.4,55494,126,17.4444,0,0.0573
634,0,3,1,4,0,0,0,0,0,0,4.1,3,37,154,0.2,31.5,28,152.2,96,100,100,0,0,-0.2,0.2,1,0,0,0,4.3,18253,0,22185,0,0,8.6,19188,127,7.0444,0,0.142
1547,0,16,1,6,0,0,0,0,0,0,3.4,4,64,288,19.8,96.5,41.7,305.4,15,100,100,0,0,0.1,-0.1,0,0,0,0,4.1,1870153,0,2039990,0,0,15.6,58786,128,17.1889,0,0.0582
916,1,11,1,4,0,0,0,0,4,0,1.6,1,33,106,0.6,221.2,85.7,181.6,455,100,100,0,0,-0.3,0.3,0,0,0,0,5.7,39770,0,80903,0,0,5.8,54861,129,10.1778,0.0983,0.0983
90,1,2,1,0,0,0,0,0,0,0,2.5,2,15,48,1.9,34.5,15.8,59.8,64,0,0,0,0,-0.2,0.2,0,0,0,0,4.3,269330,0,487660,0,0,3.5,59125,130,1,1,1
2430,0,28,0,9,0,0,89,1,1,0,4.3,16,116,522,2.1,0,66,660.8,0,100,100,0,0,0,0,3,0,0,0,5,350261,0,257170,0,0,23.2,40836,131,27,0,0
180,0,4,0,0,0,0,13,0,0,0,3,0,6,42,0.6,0,8.7,87.4,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,19095,0,53693,0,0,1.4,20066,132,2,0,0
2545,3,32,5,8,0,0,0,0,4,0,3.3,4,95,267,9.5,456.5,175.7,468,830,100,100,0,0,-0.3,0.3,1,0,0,0,6.7,1142259,0,1730725,0,0,14.2,82403,133,28.2778,0.1061,0.1768
1985,2,26,1,6,0,0,0,0,9,0,2.7,7,62,300,1.9,437.7,95,361.6,151,100,100,0,0,-0.3,0.3,1,0,0,0,6.7,62660,0,448233,0,0,9.3,66975,134,22.0556,0.0907,0.0453
791,1,12,1,3,0,0,0,0,0,0,2.3,0,34,141,0.9,132.8,37.1,167.8,70,100,100,0,0,-0.4,0.4,0,0,0,0,5.6,49726,0,221237,0,0,6.1,60252,135,8.7889,0.1138,0.1138
541,0,7,0,1,0,0,0,0,1,0,1.4,0,18,43,0.1,27.4,16.9,49.8,94,100,100,0,0,-0.3,0.3,0,0,0,0,5.2,4433,0,11315,0,0,3.5,141020,136,6.0111,0,0
856,2,12,1,4,0,0,0,0,2,0,2.9,3,40,121,0.1,95.3,52.7,198,233,100,100,0,0,-0.1,0.1,1,0,0,0,5.4,20135,0,26253,0,0,7.4,86417,137,9.5111,0.2103,0.1051
2426,0,25,4,10,0,0,0,0,5,0,2.7,2,75,344,0.6,348.8,118.3,491,341,100,100,0,0,-0.3,0.3,0,0,0,0,5.2,44089,0,118954,0,0,14.4,50471,138,26.9556,0,0.1484
1983,1,23,2,9,0,0,0,0,2,0,2.7,4,72,238,0.2,154,72,301.8,267,100,100,0,0,-0.1,0.1,0,0,0,0,4.9,31177,0,29592,0,0,14.7,55037,139,22.0333,0.0454,0.0908
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,-0.2,0.2,0,0,0,0,4.3,12242,0,11163,0,0,0,221275,140,0,0,0
462,2,6,0,2,0,0,0,0,0,0,2.4,1,24,86,0.1,63.4,37.7,89,229,0,0,0,0,-0.3,0.3,0,0,0,0,5.7,27572,0,34866,0,0,4.2,66838,146,5.1333,0.3896,0
1170,0,16,0,2,0,0,0,0,6,0,1.3,0,31,151,0.8,190.8,45.6,202.6,61,100,100,0,0,-0.2,0.2,2,0,0,0,4.3,79395,0,73782,0,0,7.2,50472,157,13,0,0
2382,8,27,2,11,0,0,0,0,5,0,3.9,19,108,366,8.8,314,150.7,479.2,718,0,0,0,0,0.2,-0.2,1,0,0,0,5.2,1551895,0,1194488,0,0,20.8,80146,468,26.4667,0.3023,0.0756
1800,0,26,1,6,0,0,0,0,1,0,3,3,59,331,1.4,38.7,71.1,396.2,273,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,138815,0,186352,0,0,13.4,19419,503,20,0,0.05
5,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0.1,0.1,0,0.2,0,0,0,0,0,-0.5,0.5,0,0,0,0,4.5,4825,0,49435,0,0,0.2,175946,510,0.0556,0,0
608,0,7,0,0,0,0,0,0,0,0,1.5,0,15,89,0,38.4,15.7,93.2,25,100,100,0,0,0,0,0,0,0,0,4.5,2463,0,1780,0,0,3.3,173954,539,6.7556,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42688,0,19687,0,0,0,42525,556,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,0,0,0,0,3.9,5036,0,3782,0,0,0,221272,578,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2304,0,1501,0,0,0,244723,579,0,0,0
7,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,21,2.7,4.4,2,0,0,0,0,0,0,0,0,0,0,4.5,313,0,216,0,0,0.2,466955,580,0.0778,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1054,0,1002,0,0,0,432705,581,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,228,0,144,0,0,0,209043,588,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,331,0,266,0,0,0,234720,608,0,0,0
1162,1,26,0,1,0,0,0,0,0,0,2.1,2,38,168,0.9,279.9,76,186.6,293,100,100,0,0,-0.4,0.4,0,0,0,0,5.6,134375,0,240432,0,0,6.8,153133,17,12.9111,0.0775,0
2241,0,40,5,6,0,0,0,1,2,0,3.2,12,83,474,11.1,887.8,165,532.2,229,100,100,0,0,-0.3,0.3,3,0,0,0,5.7,1247631,0,2137120,0,0,14.6,101188,141,24.9,0,0.2008
2085,2,36,1,5,0,0,0,1,3,0,2.9,8,73,380,2.2,76.4,96.7,486,405,100,100,0,0,-0.2,0.2,1,0,0,0,5.3,420369,0,433670,0,0,13.8,164511,142,23.1667,0.0863,0.0432
1746,1,32,0,4,0,0,0,0,0,0,2.5,3,55,307,1.9,45.4,58.3,382.8,154,100,100,0,0,-0.3,0.3,0,0,0,0,5.2,149508,0,241075,0,0,10.6,106611,143,19.4,0.0515,0
1189,0,20,1,3,0,0,0,0,3,1,1.9,2,34,207,1.1,126.5,47.5,215.4,132,100,100,0,0,-0.2,0.2,0,0,0,0,5.3,114843,0,267692,0,0,6.4,59949,144,13.2111,0,0.0757
332,0,6,1,0,0,0,0,0,0,0,2.2,0,11,75,0.2,97.5,17.7,73.8,5,100,100,0,0,-0.1,0.1,0,0,0,0,4.9,13865,0,16245,0,0,2.2,12745,145,3.6889,0,0.2711
1904,13,35,1,5,0,0,0,0,7,0,4.1,15,111,377,16.5,211.8,174,529,1009,0,0,0,0,0.5,-0.5,2,0,0,0,6.5,1754468,0,678656,0,0,17.1,177815,147,21.1556,0.6145,0.0473
2610,0,46,0,6,0,0,75,0,1,0,2.9,3,84,473,6.4,3,59.4,593.6,0,0,0,0,0,-0.3,0.3,1,0,0,0,5.2,481652,0,721709,0,0,16.2,111234,148,29,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-0.1,0.1,7,0,0,0,3.9,197695,0,264599,0,0,0,10318,149,0,0,0
2352,10,42,5,6,0,0,0,0,5,0,4.9,13,133,428,12.4,438.3,215.4,688.8,1025,100,100,0,0,0.3,-0.3,2,0,0,0,8.3,2126390,0,1890809,0,0,16,212319,150,26.1333,0.3827,0.1913
1992,1,37,3,5,0,0,0,0,3,0,2.7,4,69,302,2.4,676.8,141.7,333,407,100,100,0,0,-0.7,0.7,0,0,0,0,7.3,143197,0,824972,0,0,9.5,55422,151,22.1333,0.0452,0.1355
1016,3,10,2,7,0,0,0,0,2,0,3.2,6,60,197,0.7,287,77.4,271.4,218,100,100,0,0,-0.1,0.1,2,0,0,0,6.4,200447,0,217757,0,0,9.4,100649,152,11.2889,0.2657,0.1772
1058,1,14,3,3,0,0,0,0,1,0,2.3,1,49,133,0.4,213.2,82,149.4,455,100,100,0,0,-0.3,0.3,0,0,0,0,6.2,24123,0,60537,0,0,7.9,20467,153,11.7556,0.0851,0.2552
1365,1,26,1,3,0,0,0,0,7,0,2,3,42,160,0.1,94.9,50.8,192.4,219,0,0,0,0,-0.2,0.2,1,0,0,0,5.3,14695,0,18011,0,0,7.9,173807,154,15.1667,0.0659,0.0659
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,241,0,632,0,0,0,219352,155,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,494,0,2171,0,0,0,80801,156,0,0,0
998,0,20,0,1,0,0,0,0,4,1,1.2,0,18,132,0.6,78.5,25.5,143.2,32,0,0,0,0,-0.1,0.1,0,0,0,0,4.4,38948,0,85672,0,0,4.1,42774,158,11.0889,0,0
1187,0,24,0,2,0,0,0,0,3,1,1.5,2,24,202,0.2,146.7,35.4,183,24,100,100,0,0,-0.2,0.2,0,0,0,0,5.3,13667,0,30928,0,0,4.5,41823,205,13.1889,0,0
786,0,13,0,2,0,0,0,0,5,0,1.5,0,16,93,0.3,100.2,19.5,69,25,100,100,0,0,-0.3,0.3,0,0,0,0,5.2,14559,0,70220,0,0,3.1,120250,422,8.7333,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,4646,0,11464,0,0,0,232964,477,0,0,0
1732,0,32,4,3,0,0,0,0,4,0,2.5,5,55,343,2,52.2,59.5,390.6,150,0,0,0,0,-0.2,0.2,0,0,0,0,4.3,270354,0,143253,0,0,12.8,194164,478,19.2444,0,0.2079
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,2342,0,30232,0,0,0,57513,479,0,0,0
670,1,12,2,1,0,0,0,0,0,0,1.8,3,40,95,1.4,99.8,51,99,318,0,0,0,0,-0.7,0.7,0,0,0,0,6.3,87592,0,453217,0,0,6.3,242058,496,7.4444,0.1343,0.2687
135,0,0,0,1,0,0,0,0,0,0,2,0,4,14,0,6.3,2.6,20,0,0,75,0,0,-0.2,0.2,0,0,0,0,4.8,2782,0,7202,0,0,0.8,160987,497,1.5,0,0
1638,0,29,4,4,0,0,0,0,3,0,3,9,64,343,1,318.3,84.9,421,111,100,100,0,0,-0.5,0.5,1,0,0,0,5,236942,0,197392,0,0,12.8,102747,511,18.2,0,0.2198
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,4.5,839,0,679,0,0,0,195855,557,0,0,0
59,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,7.5,2.4,3.4,14,0,0,0,0,0,0,0,0,0,0,4.5,3693,0,2985,0,0,0.4,232826,561,0.6556,0,0
19,0,2,0,0,0,0,0,0,0,0,1,0,3,1,0,1.8,0.9,7,0,0,0,0,0,0,0,0,0,0,0,4.5,3745,0,2458,0,0,0.7,113688,570,0.2111,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2747,0,1706,0,0,0,56192,577,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,172,0,54,0,0,0,222627,629,0,0,0
2520,3,27,2,10,0,0,0,0,1,0,4.4,11,123,568,12.7,446.5,141.9,738,235,0,0,0,0,0.3,-0.3,3,0,0,0,6.3,1583911,0,1160810,0,0,19.5,111931,159,28,0.1071,0.0714
